YEAR,SAMPLE,SERIAL,HHWT,CLUSTER,REGION,STATEFIP,STRATA,GQ,PERNUM,PERWT,FAMUNIT,MOMLOC,POPLOC,RELATE,RELATED,SEX,AGE,MARST,RACE,RACED,BPL,BPLD,MBPL,MBPLD,FBPL,FBPLD,SCHOOL,SCHLMNTH,LIT,OCC,OCCSCORE,StateName,BirthplaceName,OccupationTitle
1900,190002,8000901,100.0,1900080009011,12,34,96823401301,1,7,100.0,3,0,0,12,1211,2,22,6,2,200,45,4500,45,4500,45,4500,1,99.0,4,29,6,New Jersey,South Carolina,Other laborers
1900,190002,14022001,101.0,1900140220011,31,51,172215114303,1,2,101.0,1,0,0,2,201,2,22,1,2,200,51,5100,51,5100,51,5100,1,99.0,4,999,0,Virginia,Virginia,Not in labor force / missing
1900,190002,1619401,100.0,1900016194011,31,13,19511310502,1,3,100.0,1,1,0,3,301,1,3,6,2,200,13,1300,13,1300,13,1300,1,99.0,0,999,0,Illinois,Illinois,Not in labor force / missing
1900,190002,12434102,100.0,1900124341021,31,45,152014501901,1,2,100.0,1,0,0,2,201,2,20,1,2,200,45,4500,45,4500,45,4500,1,99.0,4,999,0,South Carolina,South Carolina,Not in labor force / missing
1900,190002,1379001,100.0,1900013790011,31,12,16621202301,1,9,100.0,1,2,1,3,303,1,8,6,2,200,12,1200,12,1200,12,1200,2,4.0,0,999,0,Georgia,Georgia,Not in labor force / missing
1900,190002,168201,100.0,1900001682011,32,1,2020107303,1,1,100.0,1,0,0,1,101,1,33,6,2,200,13,1300,13,1300,13,1300,1,99.0,4,207,24,Alabama,Illinois,Blacksmiths
1900,190002,9855401,100.0,1900098554011,31,37,121613715903,1,2,100.0,1,0,0,2,201,2,27,1,2,200,37,3700,37,3700,37,3700,1,99.0,4,999,0,North Carolina,North Carolina,Not in labor force / missing
1900,190002,13237403,100.0,1900132374031,33,48,162514811302,2,1,100.0,1,0,0,1,101,2,26,5,2,200,48,4800,1,100,51,5100,1,99.0,4,40,4,Texas,Texas,Cook
1900,190002,14035601,100.0,1900140356011,31,51,172415115301,1,2,100.0,1,0,0,2,201,2,46,1,2,200,51,5100,51,5100,51,5100,1,99.0,1,999,0,Virginia,Virginia,Not in labor force / missing
1900,190002,1539301,100.0,1900015393011,31,13,18511305100,1,6,100.0,1,0,0,10,1041,1,12,6,2,200,13,1300,13,1300,13,1300,2,9.0,4,304,0,Illinois,Illinois,No occupation reported / retired
1900,190002,1847201,100.0,1900018472011,31,13,22211326102,1,3,100.0,1,2,1,3,301,1,17,6,2,200,13,1300,13,1300,13,1300,1,99.0,4,1,9,Illinois,Illinois,Farm laborers
1900,190002,1463301,100.0,1900014633011,31,12,17621210900,1,1,100.0,1,0,0,1,101,1,56,1,2,200,51,5100,51,5100,51,5100,1,99.0,1,39,20,Georgia,Virginia,Porters and janitors
1900,190002,140901,101.0,1900001409011,32,1,1720106302,1,1,101.0,1,0,0,1,101,1,50,1,2,200,1,100,1,100,1,100,1,99.0,1,5,14,Alabama,Alabama,Laborers (not farm)
1900,190002,12784601,100.0,1900127846011,32,47,156524703702,1,2,100.0,1,1,0,3,301,2,15,6,2,200,47,4700,47,4700,47,4700,1,99.0,4,999,0,Tennessee,Tennessee,Not in labor force / missing
1900,190002,1630001,100.0,1900016300011,31,13,19611311501,1,6,100.0,1,2,1,3,301,1,10,6,2,200,13,1300,13,1300,1,100,2,6.0,4,999,0,Illinois,Illinois,Not in labor force / missing
1900,190002,4464501,100.0,1900044645011,32,21,54022114500,1,2,100.0,1,0,0,7,701,1,17,6,2,200,47,4700,47,4700,47,4700,1,99.0,4,75,25,Massachusetts,Tennessee,Nurse / midwife
1900,190002,4857801,101.0,1900048578011,33,22,58512211302,1,9,101.0,1,0,0,10,1031,1,2,6,2,200,22,2200,22,2200,22,2200,1,99.0,0,999,0,Louisiana,Louisiana,Not in labor force / missing
1900,190002,1589301,101.0,1900015893011,31,13,19121308700,1,4,101.0,2,0,0,12,1211,1,14,6,2,200,12,1200,12,1200,12,1200,1,99.0,4,1,9,Illinois,Georgia,Farm laborers
1900,190002,574401,100.0,1900005744011,33,5,7110510702,1,2,100.0,1,0,0,2,201,2,23,1,2,200,5,500,13,1300,13,1300,1,99.0,3,999,0,Arkansas,Arkansas,Not in labor force / missing
1900,190002,1733401,100.0,1900017334011,31,13,20811317501,1,7,100.0,1,2,1,3,301,2,2,6,2,200,13,1300,13,1300,13,1300,1,99.0,0,999,0,Illinois,Illinois,Not in labor force / missing
1900,190002,745301,100.0,1900007453011,42,6,9010603701,1,5,100.0,2,0,0,12,1211,1,8,6,2,200,6,600,51,5100,260,26000,1,99.0,0,999,0,,,Not in labor force / missing
1900,190002,12785301,100.0,1900127853011,32,47,156524703702,1,6,100.0,1,2,1,3,303,2,7,6,2,200,47,4700,47,4700,47,4700,2,3.0,0,999,0,Tennessee,Tennessee,Not in labor force / missing
1900,190002,76801,100.0,1900000768011,32,1,1020103501,1,2,100.0,1,0,1,3,301,2,23,6,2,200,1,100,1,100,1,100,1,99.0,4,999,0,Alabama,Alabama,Not in labor force / missing
1900,190002,13052301,101.0,1900130523011,32,47,160014716103,1,10,101.0,1,9,3,9,901,2,1,6,2,200,47,4700,47,4700,47,4700,1,99.0,0,999,0,Tennessee,Tennessee,Not in labor force / missing
1900,190002,4820701,101.0,1900048207011,33,22,58112209700,1,1,101.0,1,0,0,1,101,2,18,6,2,200,22,2200,22,2200,22,2200,1,99.0,1,1,9,Louisiana,Louisiana,Farm laborers
1900,190002,6694701,100.0,1900066947011,32,28,81012804900,1,4,100.0,1,0,1,3,301,2,3,6,2,200,28,2800,1,100,47,4700,1,99.0,0,999,0,Mississippi,Mississippi,Not in labor force / missing
1900,190002,13099001,101.0,1900130990011,32,47,160614718701,1,7,101.0,1,2,1,3,301,2,0,6,2,200,47,4700,47,4700,47,4700,1,99.0,0,999,0,Tennessee,Tennessee,Not in labor force / missing
1900,190002,13216901,100.0,1900132169011,33,48,162214808902,1,6,100.0,1,2,1,3,301,2,18,2,2,200,13,1300,45,4500,45,4500,1,99.0,4,1,9,Texas,Illinois,Farm laborers
1900,190002,1753101,100.0,1900017531011,31,13,21111319700,1,4,100.0,1,2,1,3,301,2,5,6,2,200,13,1300,13,1300,13,1300,1,99.0,0,999,0,Illinois,Illinois,Not in labor force / missing
1900,190002,5121701,101.0,1900051217011,31,24,61512451002,1,2,101.0,1,0,0,2,201,2,34,1,2,200,24,2400,24,2400,24,2400,1,99.0,4,206,12,Maryland,Maryland,Machinists and metal workers
1900,190002,9720201,100.0,1900097202011,31,37,119823708101,1,3,100.0,1,2,1,3,301,2,7,6,2,200,37,3700,37,3700,37,3700,2,1.0,0,999,0,North Carolina,North Carolina,Not in labor force / missing
1900,190002,4869501,101.0,1900048695011,33,22,58622212500,1,5,101.0,1,2,1,3,301,1,21,6,2,200,22,2200,22,2200,22,2200,1,99.0,4,39,20,Louisiana,Louisiana,Porters and janitors
1900,190002,213101,101.0,1900002131011,32,1,2610108502,1,1,101.0,1,0,0,1,101,1,31,1,2,200,1,100,1,100,1,100,1,99.0,1,5,14,Alabama,Alabama,Laborers (not farm)
1900,190002,1787601,100.0,1900017876011,31,13,21421321503,1,5,100.0,1,0,0,7,701,1,23,1,2,200,13,1300,13,1300,13,1300,1,99.0,4,39,20,Illinois,Illinois,Porters and janitors
1900,190002,13932001,100.0,1900139320011,31,51,171125108302,1,8,100.0,1,0,0,9,901,1,11,6,2,200,51,5100,51,5100,51,5100,1,99.0,4,1,9,Virginia,Virginia,Farm laborers
1900,190002,5216801,100.0,1900052168011,31,24,62712403700,1,2,100.0,1,0,0,2,201,2,29,1,2,200,24,2400,24,2400,24,2400,1,99.0,1,999,0,Maryland,Maryland,Not in labor force / missing
1900,190002,9656901,100.0,1900096569011,31,37,119023704902,1,3,100.0,1,2,1,3,301,1,11,6,2,200,37,3700,37,3700,37,3700,2,4.0,3,1,9,North Carolina,North Carolina,Farm laborers
1900,190002,4657701,100.0,1900046577011,33,22,56312203100,1,1,100.0,1,0,0,1,101,1,36,1,2,200,22,2200,22,2200,1,100,1,99.0,1,5,14,Louisiana,Louisiana,Laborers (not farm)
1900,190002,276401,100.0,1900002764011,32,1,3420110100,1,1,100.0,1,0,0,1,101,1,23,1,2,200,1,100,1,100,1,100,1,99.0,1,1,9,Alabama,Alabama,Farm laborers
1900,190002,12520001,100.0,1900125200011,31,45,153024504703,1,4,100.0,1,2,1,3,301,2,15,6,2,200,45,4500,45,4500,45,4500,2,3.0,3,304,0,South Carolina,South Carolina,No occupation reported / retired
1900,190002,12426701,100.0,1900124267011,31,45,151924501500,1,3,100.0,1,2,1,3,301,2,1,6,2,200,45,4500,45,4500,45,4500,1,99.0,0,999,0,South Carolina,South Carolina,Not in labor force / missing
1900,190002,14031601,100.0,1900140316011,31,51,172325114902,1,1,100.0,1,0,0,1,101,1,41,1,2,200,51,5100,51,5100,51,5100,1,99.0,4,5,14,Virginia,Virginia,Laborers (not farm)
1900,190002,1329101,100.0,1900013291011,31,11,16011100102,1,4,100.0,3,0,0,12,1211,2,50,6,2,200,11,1100,11,1100,51,5100,1,99.0,1,29,16,,District of Columbia,Other laborers
1900,190002,14322402,100.0,1900143224021,31,54,176015403302,4,1,100.0,1,0,0,12,1217,1,21,6,2,200,51,5100,51,5100,21,2100,1,99.0,3,75,20,,Virginia,Nurse / midwife
1900,190002,12523301,100.0,1900125233011,31,45,153114504901,1,5,100.0,1,1,0,3,301,1,13,6,2,200,45,4500,45,4500,45,4500,1,99.0,1,1,9,South Carolina,South Carolina,Farm laborers
1900,190002,6673201,100.0,1900066732011,32,28,80712803301,1,2,100.0,1,0,0,2,201,2,18,1,2,200,28,2800,28,2800,28,2800,1,99.0,4,1,9,Mississippi,Mississippi,Farm laborers
1900,190002,47101,101.0,1900000471011,32,1,610101703,1,3,101.0,1,2,1,3,301,2,15,6,2,200,1,100,1,100,13,1300,1,99.0,3,46,11,Alabama,Alabama,
1900,190002,1898101,100.0,1900018981011,31,13,22721330702,1,1,100.0,1,7,0,1,101,1,22,1,2,200,13,1300,13,1300,13,1300,1,99.0,4,5,14,Illinois,Illinois,Laborers (not farm)
1900,190002,13305701,100.0,1900133057011,33,48,163424814901,1,5,100.0,1,2,1,3,301,2,8,6,2,200,48,4800,48,4800,51,5100,2,4.0,0,999,0,Texas,Texas,Not in labor force / missing
1900,190002,14034901,100.0,1900140349011,31,51,172415115100,1,3,100.0,1,2,1,3,301,2,13,6,2,200,51,5100,51,5100,51,5100,2,6.0,4,304,0,Virginia,Virginia,No occupation reported / retired
1900,190002,117901,100.0,1900001179011,32,1,1510105101,1,5,100.0,1,2,1,3,301,1,16,6,2,200,1,100,1,100,13,1300,1,99.0,3,1,9,Alabama,Alabama,Farm laborers
1900,190002,14055501,101.0,1900140555011,31,51,172715116700,1,4,101.0,1,2,1,3,301,1,8,6,2,200,51,5100,51,5100,51,5100,1,99.0,0,999,0,Virginia,Virginia,Not in labor force / missing
